iteration,isolation,commit_hint_first,thread_a_committed,thread_b_committed,thread_a_error,thread_b_error,invariant_ok,invariant_detail
242,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
243,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=d8219f13-2580-4256-9fc1-2a12dad8329c, reason=kind_outranked -- payload={""value"": ""INFERRED_iter243"", ""writer"": ""kndb_native"", ""fact_id"": ""28505531-b466-4d83-af42-de13eb1d9852"", ""provsql"": ""d7458935-69e5-4b35-ba5f-da3138e42d7b"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.164514-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000243, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
244,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000244 attribute='s2_slot' is INFERRED, expected MEASURED"
245,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
246,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000246 attribute='s2_slot' is INFERRED, expected MEASURED"
247,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000247 attribute='s2_slot' is INFERRED, expected MEASURED"
248,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=b68ba047-9ded-4636-9bcc-6845063cfa7c, reason=kind_outranked -- payload={""value"": ""INFERRED_iter248"", ""writer"": ""kndb_native"", ""fact_id"": ""d4678360-f0f8-45b4-8991-62bc4303ce9f"", ""provsql"": ""c9c02fa6-0fbf-4ba0-9c68-d7eecb109ed9"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.206684-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000248, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
249,SERIALIZABLE,A,1,1,,,1,
250,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000250 attribute='s2_slot' is INFERRED, expected MEASURED"
251,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
252,SERIALIZABLE,A,1,1,,,1,
253,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000253 attribute='s2_slot' is INFERRED, expected MEASURED"
254,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=85841b62-4ecc-405f-b25c-f3ac20e6e3f5, reason=kind_outranked -- payload={""value"": ""INFERRED_iter254"", ""writer"": ""kndb_native"", ""fact_id"": ""9f862e81-2f53-4c93-b926-3debb1c1092c"", ""provsql"": ""9569a596-f25c-47c8-a98f-bda8e34b4a94"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.256265-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000254, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
255,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
256,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000256 attribute='s2_slot' is INFERRED, expected MEASURED"
257,SERIALIZABLE,A,1,1,,,1,
258,SERIALIZABLE,A,1,1,,,1,
259,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
260,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=9c4b8963-dda5-4a48-b227-2e46a4f9ce85, reason=kind_outranked -- payload={""value"": ""INFERRED_iter260"", ""writer"": ""kndb_native"", ""fact_id"": ""0dc7e5e7-3ec3-4b7f-b856-accbfc43fe56"", ""provsql"": ""4801ef61-5e21-4ef9-a76d-02158e98e223"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.306265-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000260, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
261,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
262,SERIALIZABLE,A,1,1,,,1,
263,SERIALIZABLE,A,1,1,,,1,
264,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=d57b28cf-147f-4f46-a48d-4fdbc94ef07c, reason=kind_outranked -- payload={""value"": ""INFERRED_iter264"", ""writer"": ""kndb_native"", ""fact_id"": ""324d3a01-ccd9-4978-8e1e-aa0a91e90896"", ""provsql"": ""efd5c4e2-5712-4caa-9145-a290616c7d8e"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.338277-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000264, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
265,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
266,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=8ef0ba95-3b14-43a4-af93-ed71d4de67e2, reason=kind_outranked -- payload={""value"": ""INFERRED_iter266"", ""writer"": ""kndb_native"", ""fact_id"": ""a7be0025-7cd0-4fc6-88bb-b02c00acfaed"", ""provsql"": ""d3467e65-6848-4eef-96d1-6d32e689e4d8"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.354236-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000266, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
267,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=40390551-9dc3-4675-b8ef-e9f5c5ee9bbc, reason=kind_outranked -- payload={""value"": ""INFERRED_iter267"", ""writer"": ""kndb_native"", ""fact_id"": ""0a7c1e1f-8a1d-4346-a9ec-4394027ccdf4"", ""provsql"": ""bd668014-b336-4ec1-847b-3baeb555d499"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.36245-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000267, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
268,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e3b0b3ca-89d4-4fbf-9f96-aa468b1c5269, reason=kind_outranked -- payload={""value"": ""INFERRED_iter268"", ""writer"": ""kndb_native"", ""fact_id"": ""ae976cfa-7c69-4535-8aad-97a1664ed485"", ""provsql"": ""79bfe736-ee56-463c-b7fc-06c825f88ef1"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.370732-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000268, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
269,SERIALIZABLE,A,1,1,,,1,
270,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
271,SERIALIZABLE,A,1,1,,,1,
272,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=1880e8b6-773c-4c1e-a298-a2ebfc01c13a, reason=kind_outranked -- payload={""value"": ""INFERRED_iter272"", ""writer"": ""kndb_native"", ""fact_id"": ""11b2d39d-1337-4209-924c-3172dd55cad1"", ""provsql"": ""f4ea679f-5244-4885-a0f7-a5c60816b5c7"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.404373-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000272, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
273,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
274,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000274 attribute='s2_slot' is INFERRED, expected MEASURED"
275,SERIALIZABLE,A,1,1,,,1,
276,SERIALIZABLE,A,1,1,,,1,
277,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
278,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000278 attribute='s2_slot' is INFERRED, expected MEASURED"
279,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
280,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=bbfe2e62-cc00-47d9-82f8-eacde88970be, reason=kind_outranked -- payload={""value"": ""INFERRED_iter280"", ""writer"": ""kndb_native"", ""fact_id"": ""e84a3956-ace2-4b39-a68e-1efb5991c984"", ""provsql"": ""deaa0ffc-4f5a-4fe4-a472-3d721bcebbc3"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.470005-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000280, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
281,SERIALIZABLE,A,1,1,,,1,
282,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
283,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000283 attribute='s2_slot' is INFERRED, expected MEASURED"
284,SERIALIZABLE,A,1,1,,,1,
285,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=12bcd405-12c8-48bc-a065-cba6b623187b, reason=kind_outranked -- payload={""value"": ""INFERRED_iter285"", ""writer"": ""kndb_native"", ""fact_id"": ""9e37f541-cf00-4454-aea4-c1a569ec687c"", ""provsql"": ""5471ad2e-cad0-4358-b563-2cf562886c92"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.510736-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000285, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
286,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
287,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000287 attribute='s2_slot' is INFERRED, expected MEASURED"
288,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000288 attribute='s2_slot' is INFERRED, expected MEASURED"
289,SERIALIZABLE,A,1,1,,,1,
290,SERIALIZABLE,A,1,1,,,1,
291,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
292,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=c34cfb5a-fc8a-4873-998f-a85247d1893e, reason=kind_outranked -- payload={""value"": ""INFERRED_iter292"", ""writer"": ""kndb_native"", ""fact_id"": ""3c59aee0-508a-4dc2-98cf-32ec83ceff91"", ""provsql"": ""0c0e9f8d-dfb5-4f40-9fe2-3888bf50870e"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.568176-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000292, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
293,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000293 attribute='s2_slot' is INFERRED, expected MEASURED"
294,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=c7480700-b7c6-4b0e-ae23-c8a79575bd00, reason=kind_outranked -- payload={""value"": ""INFERRED_iter294"", ""writer"": ""kndb_native"", ""fact_id"": ""10273a41-529b-4e24-af5e-2308ef366ff7"", ""provsql"": ""e23c427f-76bd-483e-ae68-7274a7412516"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.584423-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000294, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
295,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=104873e6-5729-47e1-b959-47ce3f86220b, reason=kind_outranked -- payload={""value"": ""INFERRED_iter295"", ""writer"": ""kndb_native"", ""fact_id"": ""c6dad379-7f1b-4836-b183-9a393c7a9831"", ""provsql"": ""eec4ee15-961d-43ad-ad1d-7f23905e3be3"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.592243-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000295, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
296,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000296 attribute='s2_slot' is INFERRED, expected MEASURED"
297,SERIALIZABLE,A,1,1,,,1,
298,SERIALIZABLE,A,1,1,,,1,
299,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
300,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=1c326804-3b8e-4f46-a3ec-1f922a601cfd, reason=kind_outranked -- payload={""value"": ""INFERRED_iter300"", ""writer"": ""kndb_native"", ""fact_id"": ""7467ae58-8c2b-404d-8829-2807e47b3987"", ""provsql"": ""e04a22e3-bdbb-4c0c-a1be-2d5e82824c78"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.632728-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000300, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
301,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=f1cd7aa4-9ba8-4fc4-b30f-aa06b508a5cb, reason=kind_outranked -- payload={""value"": ""INFERRED_iter301"", ""writer"": ""kndb_native"", ""fact_id"": ""d1a43768-5ceb-4167-89df-5cba69a33c8c"", ""provsql"": ""087f7295-f5d5-4b76-9738-3eb1f9651e85"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.640651-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000301, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
302,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
303,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=df929990-52cc-4558-a879-01b52217daa9, reason=kind_outranked -- payload={""value"": ""INFERRED_iter303"", ""writer"": ""kndb_native"", ""fact_id"": ""a6fd0e58-2af6-4e03-87f6-899f7b4793db"", ""provsql"": ""3b69e00a-e6b6-43d0-9b41-c6830f29bbad"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.656614-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000303, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
304,SERIALIZABLE,A,1,1,,,1,
305,SERIALIZABLE,A,1,1,,,1,
306,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000306 attribute='s2_slot' is INFERRED, expected MEASURED"
307,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=88d788bc-61e1-4b58-b1b1-1506c65d6c03, reason=kind_outranked -- payload={""value"": ""INFERRED_iter307"", ""writer"": ""kndb_native"", ""fact_id"": ""3abb42bf-68e2-4c03-8d9d-17a63c244c65"", ""provsql"": ""b2f4ea8d-1781-458c-a4ac-5dd07a21230e"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.689384-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000307, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
308,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
309,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=148dc16b-f41b-4d4a-a488-0968a743114f, reason=kind_outranked -- payload={""value"": ""INFERRED_iter309"", ""writer"": ""kndb_native"", ""fact_id"": ""91a8f27f-65d9-4c33-84b2-58b84e77e553"", ""provsql"": ""b330a600-303c-41f8-ba0b-c48767188365"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.705381-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000309, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
310,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=89ef16ae-c158-47b8-a019-b463d3e951a3, reason=kind_outranked -- payload={""value"": ""INFERRED_iter310"", ""writer"": ""kndb_native"", ""fact_id"": ""b128bcc7-6da4-4447-8507-fe65b87fb04f"", ""provsql"": ""f4bf95bc-2465-47df-8da4-ba12fa3d5633"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.713305-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000310, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
311,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000311 attribute='s2_slot' is INFERRED, expected MEASURED"
312,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000312 attribute='s2_slot' is INFERRED, expected MEASURED"
313,SERIALIZABLE,A,1,1,,,1,
314,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
315,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=5023fa74-9a0f-43aa-802d-5a1c0b46f1ae, reason=kind_outranked -- payload={""value"": ""INFERRED_iter315"", ""writer"": ""kndb_native"", ""fact_id"": ""a34f853f-fd8f-40cc-b7e5-264f198177fa"", ""provsql"": ""8a4b8e9a-ceca-4290-bad6-81a9dda79000"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:29.755645-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000315, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
316,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000316 attribute='s2_slot' is INFERRED, expected MEASURED"
317,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
